"DHL Express",dhl,,http://www.dhl.com/,express,//s.trackingmore.com/images/icons/express/dhl.png,DE,http://www.dhl.com/en/express/tracking.html?brand=DHL&AWB=******,DHL
UPS,ups,"+1 800 742 5877",https://www.ups.com/us/en/Home.page,express,//s.trackingmore.com/images/icons/express/ups.png,US,https://www.ups.com/track?loc=en_US&tracknum=******&requester=WT/,UPS
Fedex,fedex,"1 800 247 4747",http://www.fedex.com/,express,//s.trackingmore.com/images/icons/express/fedex.png,US,https://www.fedex.com/apps/fedextrack/?action=track&trackingnumber=******&cntry_code=us&locale=en_US,Fedex-联邦快递
TNT,tnt,"1 800 558 5555",http://www.tnt.com/,express,//s.trackingmore.com/images/icons/express/tnt.png,US,http://www.tnt.com/,TNT
"China EMS",china-ems,0086-11183,http://www.ems.com.cn/english.html,globalpost,//s.trackingmore.com/images/icons/express/companylogo/3011.jpg,CN,http://www.ems.com.cn/ems/order/singleQuery_t,"中国 EMS"
"China Post",china-post,"86 20 11185",http://yjcx.chinapost.com.cn/qps/yjcx,globalpost,//s.trackingmore.com/images/icons/express/companylogo/3010.jpg,CN,http://yjcx.chinapost.com.cn/qps/yjcx,中国邮政
"Singapore Post",singapore-post,"0065 - 6841 2000",http://www.singpost.com/,globalpost,//s.trackingmore.com/images/icons/express/companylogo/19130.jpg,SG,https://www.singpost.com/,新加坡邮政(小包)
"Singapore Speedpost",singapore-speedpost,"(+65) 6222 5777",http://www.speedpost.com.sg/,globalpost,//s.trackingmore.com/images/icons/express/companylogo/19131.jpg,SG,https://www.speedpost.com.sg/track-and-trace,新加坡特快专递
"Hong Kong Post",hong-kong-post,"852 2921 2222",http://www.hongkongpost.hk,globalpost,//s.trackingmore.com/images/icons/express/companylogo/8010.jpg,HK,https://www.hongkongpost.hk/sc/mail_tracking/index.html,香港邮政
"Swiss Post",swiss-post,"0848 888 888",https://www.post.ch/,globalpost,//s.trackingmore.com/images/icons/express/companylogo/19250.jpg,CH,https://www.post.ch/de/pages/suche?query=******,瑞士邮政
USPS,usps,1-800-275-8777,https://www.usps.com/,globalpost,//s.trackingmore.com/images/icons/express/companylogo/21050.jpg,US,https://tools.usps.com/go/TrackConfirmAction?tLabels=******,美国邮政
"Parcel Force",parcel-force,"0344 800 4466",http://www.parcelforce.com/,globalpost,//s.trackingmore.com/images/icons/express/companylogo/11031.jpg,GB,https://www.parcelforce.com/track-trace,英国邮政parcelforce
"PostNL International",postnl-parcels,"+31 88 868 6161",https://postnl.post,globalpost,//s.trackingmore.com/images/icons/express/companylogo/14040.jpg,NL,https://postnl.post/tracktrace,荷兰邮政-PostNL
"Netherlands Post",netherlands-post,,http://parcels-uk.tntpost.com/,globalpost,//s.trackingmore.com/images/icons/express/companylogo/14041.jpg,NL,http://parcels-uk.tntpost.com/,香港TNT国际快递
"Australia Post",australia-post,"+61 3 8847 9980",http://auspost.com.au,globalpost,//s.trackingmore.com/images/icons/express/companylogo/1150.jpg,AU,https://auspost.com.au/mypost/track/#/search,澳大利亚邮政
"Australia EMS",australia-ems,"61 3 8847 9045",http://auspost.com.au/,globalpost,//s.trackingmore.com/images/icons/express/companylogo/1151.jpg,AU,https://auspost.com.au/mypost/track/#/search,"澳大利亚 EMS"
"Canada Post",canada-post,"1 866 607 6301",http://www.canadapost.ca/,globalpost,//s.trackingmore.com/images/icons/express/companylogo/3040.jpg,CA,https://www.canadapost.ca/trackweb/en#/search?searchFor=******,加拿大邮政
"New Zealand Post",new-zealand-post,"64 9 367 9710",http://www.nzpost.co.nz/,globalpost,//s.trackingmore.com/images/icons/express/companylogo/14060.jpg,NZ,https://www.nzpost.co.nz/tools/tracking,新西兰邮政
Bpost,belgium-post,"+32 2 276 22 74",http://www.bpost2.be/bpostinternational/track_trace/find.php,globalpost,//s.trackingmore.com/images/icons/express/companylogo/2061.jpg,BE,http://www.bpost2.be/bpostinternational/track_trace/find.php?search=s&lng=en&trackcode=******,比利时邮政
"Brazil Correios",brazil-correios,"55 61 3003 0100",http://www.correios.com.br/,globalpost,//s.trackingmore.com/images/icons/express/companylogo/2150.jpg,BR,https://www2.correios.com.br/sistemas/rastreamento/?ididioma=2,巴西邮政
"Russian Post",russian-post,"+7 (495) 956-20-67",https://pochta.ru/,globalpost,//s.trackingmore.com/images/icons/express/companylogo/18030.jpg,RU,https://www.pochta.ru/tracking#******,俄罗斯邮政
"Sweden Posten",sweden-posten,"+46 771 33 33 10",https://www.postnord.se/en,globalpost,//s.trackingmore.com/images/icons/express/companylogo/19240.jpg,SE,https://www.postnord.se/sok/sok?searchquery=******,瑞典邮政
"La Poste",laposte,"33 3631",http://www.laposte.fr,globalpost,//s.trackingmore.com/images/icons/express/companylogo/6050.jpg,FR,https://www.laposte.fr/particulier/recherche?s=******,"法国邮政-La Poste"
"France EMS - Chronopost",chronopost,"0969 391 391",http://www.chronopost.fr/,globalpost,//s.trackingmore.com/images/icons/express/companylogo/6052.jpg,FR,https://www.chronopost.fr/en/private/track-your-parcel,"法国 EMS-Chronopost"
Colissimo,colissimo,,http://www.colissimo.fr/,globalpost,//s.trackingmore.com/images/icons/express/companylogo/6051.jpg,FR,https://www.laposte.fr/particulier/recherche?s=ewqeqwe,法国邮政-Colissimo
"Poste Italiane",poste-italiane,"39 803 160",http://www.poste.it/,globalpost,//s.trackingmore.com/images/icons/express/companylogo/9070.jpg,IT,https://www.poste.it/cerca/index.html#/risultati-spedizioni/******,意大利邮政
"India Post",india-post,"91 1800 11 2011",http://www.indiapost.gov.in/,globalpost,//s.trackingmore.com/images/icons/express/companylogo/9020.jpg,IN,https://www.indiapost.gov.in/_layouts/15/DOP.Portal.Tracking/TrackConsignment.aspx,印度邮政
"Magyar Posta",magyar-posta,"(36)/06 40 46 46 46",http://posta.hu/,globalpost,//s.trackingmore.com/images/icons/express/companylogo/8050.jpg,HU,https://www.posta.hu/nyomkovetes/nyitooldal?searchvalue=******,匈牙利邮政
YANWEN,yanwen,"86 400-108-5656",https://www.yw56.com.cn/en/,express,//s.trackingmore.com/images/icons/express/yanwen.png,CN,https://track.yw56.com.cn/home/index?aspxerrorpath=/zh-CN/,燕文
